"Label","Etikett"
"Customs declaration","Zollinhaltserklärung"
"Document Id","Dokumenten-ID"
"Shipment Id","Sendungs-ID"
"Document URL","Dokumenten-URL"
"Document Filepath","Dateisystem"
"Document Type","Dokumententyp"
"Download PDF","PDF herunterladen"
"Download Intraship PDF","Intraship-PDF-Labels herunterladen"
"ok","Übertragung war erfolgreich."
"login failed","Anmeldung fehlgeschlagen."
"service temporary not available","Service vorübergehend nicht erreichbar."
"operation has partially failed! see label data for further information.",""
"shipment already deleted.","Sendung wurde bereits gelöscht."
"shipment not found","Sendung in der Datenbank nicht gefunden."
"shipment already manifested","Sendung wurde bereits manifestiert."
"shipment not printed","Sendung nicht gedruckt."
"invalid sender address","Ungültiger Absender."
"invalid receiver address","Ungültiger Empfänger."
"invalid account","Account ungültig."
"booking confirmation number not found","Buchungsbestätigung nicht gefunden."
"package number couldn't be generated!","Eingabe im Feld ProductCode unbekannt, zu kurz oder zu lang."
"your order could not be processed product key is missing.","Produkt-Code und Dienst nicht kompatibel sind."
"the current incoterms are not included in the list of the available incoterms.","Ländercode entspricht nicht der Vorgabe."
"shipment could not be saved.","Falsche Eingabe in einem Eingabefeld."
"account could not be found","EKP- oder Express Account Number unbekannt, entspricht nicht dem User-Account oder zulässige Feldlänge überschritten."
"shipment not found or is deleted.","Sendung existiert nicht oder wurde gelöscht."
"at least on shipment could not be deleted", "Es ist ein interner Fehler aufgetreten."
"at least one shipment has errors","Es ist ein interner Fehler aufgetreten."
"the shipment weight may not be smaller than  0.1 kg for this product code.","Die Sendung ist zu leicht, es sind min. 0.1 kg möglich."
"the shipment does exceed the maximum allowed weight of 31.500 kg!","Die Sendung ist zu schwer, es sind max. 31.500 kg möglich."
"house number is missing at the receiveraddress.","Hausnummer in der Empfängeradresse fehlt."
"illegal productcode/attendance for a account.","Produkt-Code ist für diesen Account nicht erlaubt."
"no or wrong product selected. please correct!","Es wurde kein oder ein falsches Produkt ausgewählt."
"error-the shipment date is in the past  or has a wrong format.","Fehler: Das Sendedatum liegt in der Vergangenheit."
"bank details are missing","Bankverbindung fehlt"
"the bank routing code must have exactly 8 characters.",""
"profile "0" is invalid.",""
"Weight (in g)","Gewicht (in g)"
"No valid shipment data. Please check your entered data.","Es wurden keine gültigen Versanddaten angegeben, bitte überprüfen Sie Ihre Eingaben."
"Bulkfreight","Sperrgut"
"Message","Nachricht"
"Long","Lang"
"Yes","Ja"
"No","Nein"
"Add package","Packstück hinzufügen"
"Payment method cash on delivery is not possible without bank data.","Für Nachnahmesendung muss eine Bankverbindung hinterlegt sein."
"DHL intraship administration","DHL Intraship Verwaltung"
"DHL intraship shipment documents","DHL Intraship Dokumente"
"Default Profile","Standardpropdukt"
"Default Profiles","Standardpropdukte"
"PDF creation was successful","Erstellung war erfolgreich"
"PDF creation failed","PDF konnte nicht erzeugt werden"
"Basic configuration","Basiskonfiguration"
"Enabled","Aktiviert"
"Testmode","Testmodus"
"Account","Stammdaten"
"Account (test mode)","Stammdaten (Testmodus)"
"Account (live mode)","Stammdaten (Produktivbetrieb)"
"Username","Name"
"Signature","Kennwort"
"EKP","EKP"
"Shipment options","Versandoptionen"
"Countrys with custom declaration","Länder mit Zollinhaltserklärung"
"Shipper data","Absenderdaten"
"Salutation *","Anrede *"
"Title","Titel"
"Firstname *","Vorname *"
"Lastname *","Nachname *"
"Streetname *","Straße *"
"Streetnumber *","Hausnummer *"
"Zip *","Postleitzahl *"
"City *","Stadt *"
"State *","Region *"
"Country *","Land *"
"Phone *","Telefon *"
"Email *","E-Mail *"
"Contact person *","Kontaktperson *"
"DHL-Profiles","Produkte"
"DHL-Profile","Produkt"
"Insurance","Transportversicherung"
"Insurance (up to %s)","Transportversicherung (bis zu %s)"
"Personally","Eigenhändig"
"Partner Id","Partnernummer"
"new (queued)","Neu (wartend)"
"new (retry)","Neu (wiederholen)"
"new (failed)","Neu (fehlerhaft)"
"processed","Erfolgreich"
"cancel (queued)","Abbruch (wartend)"
"cancel (retry)","Abbruch (wiederholen)"
"cancel (failed)","Abbruch (fehlerhaft)"
"canceled","Abgebrochen"
"closed","Geschlossen"
"in transmission","Wird übertragen"
"General Information","Generelle Informationen"
"Cancel succeed.","Abbruch erfolgreich."
"Cancel shipment","Versand abbrechen"
"Resume shipment","Versand wiederaufnehmen"
"Can\'t cancel shipment.","Sendung kann nicht abgebrochen werden."
"Cancel of shipment failed.","Sendungsabbruch fehlgeschlagen"
"label","Ettiket"
"custom declaration","Zollinhaltserklärung"
"Edit","Bearbeiten"
"Edit Shipment '%s'","Sendung '%s' bearbeiten"
"Save Shipment","Sendung speichern"
"Customer Data","Kundendaten"
"Prefix","Anrede"
"Suffix","Suffix"
"Street","Straße"
"Region","Region"
"Postcode","Postleitzahl"
"--Please Select--","--Bitte wählen--"
"Partner Ids","Teilnahme"
"Default weight for national shipment (in kg)","Standardgewicht für nationale Pakete (in kg)"
"Default weight for european shipment (in kg)","Standardgewicht für internationale Pakete (in kg)"
"Shipment options - National shipments","Versandoptionen - Nationale Sendungen"
"Shipment options - European shipments", "Versandoptionen - Sendungen in das europäische Ausland"
"Enabled Profiles","Aktivierte Produkte"
"Weight","Gewicht"
"Weight (in kg)","Gewicht (in kg)"
"Edited Address","Bearbeitete Adresse"
"Multipack","Mehrpacket"
"Add Option","Paket hinzufügen"
"Partner Ids","Partnernummern"
"pdf","PDF erstellen"
"create","Sendung erstellen"
"cancel","Sendung abbrechen"
"Packages","Pakete"
"Package","Paket"
"standard","DHL Paket"
"express","DHL Paket Express"
"go-green", "DHL Paket GoGreen"
"go-green-express","DHL Paket GoGreen Express"
"standard world package","DHL Weltpaket"
"go-green world package","DHL Weltpaket GoGreen"
"If you have problems to setup your account please contact DHL by using the keyword Intraship Webservice:","Wenn Sie Hilfe bei der Einrichtung der Zugangsdaten und Serviceleistungen der DHL benötigen, wenden Sie sich bitte mit dem Stichwort Intraship Webservice an:"
"Please use the following link in order to administer your intraship orders, basic data etc. and to retrieve further account information:","Um Ihre Intraship-Aufträge, Stammdaten etc. zu verwalten und Informationen zu Ihrem Kundenkonto abzurufen, nutzen Sie bitte folgenden Link:"
"Phone: DHL IntraShip Hotline 0180 500 33 21","Telefon: DHL IntraShip Hotline 0180 500 33 21"
"E-Mail: easylog.support@deutschepost.de","E-Mail: easylog.support@deutschepost.de"
"Contact to Service-Center","Kontakt zum Service-Center"
"DHL Intraship service can not ship to countries out of the European Union.","Der DHL Intraship Service kann z.Z. nicht für die Versendung außerhalb von Europäischen Union verwendet werden."
"Advice","Hinweis"
"The option personally can not be used with multipack.","Mehrpakete sind mit der Option Eigenhändig nicht möglich."
"The option personally is not possible if cash on delivery (COD) is choosen.","Die Option Eigenhändig kann bei Nachnahme nicht gewählt werden."
"The option bulkfreight can not be used with multipack.","Mehrpakete sind mit der Option Sperrgut nicht möglich."
"The option bulkfreight is not possible if cash on delivery (COD) is choosen.","Die Option Sperrgut kann bei Nachnahme nicht gewählt werden."
"The insurance option is not possible on a total amount greater than %s.","Die Option Transportversicherung ist nur bis zu einem Warenwert von %s möglich."
"If you want to ship into a country witch liable for customs duty the packae requires a customs declaration.","Wenn Sie ein DHL Weltpaket in ein zollpflichtiges Land versenden möchten, benötigen Sie zusätzliche Papiere."
"You can find more informations","Informationen dazu finden Sie"
"here","hier"
"DHL Package","DHL Paket"
"DHL Europackge","DHL Europaket"
"DHL Worldpackage","DHL Weltpaket"
"DHL Worldpackage GoGreen","DHL Weltpaket GoGreen"
"DHL Package","DHL Paket"
"DHL Package Express","DHL Paket Express"
"DHL Package GoGreen","DHL Paket GoGreen"
"DHL Package GoGreen express","DHL Paket GoGreen Express"
"Default Weight","Standardgewicht"
"Enabled Countries","Aktivierte Länder"
"Global Settings","Globale Einstellungen"
"Address Data","Adressdaten"
"Bank Data","Bankdaten"
"Account Owner *","Kontoinhaber *"
"Account Number","Kontonummer"
"Bank Code","BLZ"
"Bank Name *","Name der Bank *"
"IBAN *","IBAN *"
"BIC *","BIC *"
"Note","Notiz"
"Warning","Warnung"
"No orders to ship.","Es wurden keine versandbereiten Bestellungen gefunden."
"Customer has chosen DHL Package GoGreen in checkout!","Kunde hat im Checkout das DHL Paket GoGreen ausgewählt!"
"Use product weight as default","Produktgewicht als Standard verwenden"
"Product weight unit","Maßeinheit des Produktgewichts"
"Payment methods allowed for cash on delivery","Zahlungsarten für Nachnahme"
"Payment methods allowed for automatic shipment","Zahlungsarten für den automatischen Modus"
"Allowed order status codes for automatic shipment","Bestellstatus für den automatischen Modus"
"Create shipment(s)", "Sendung(en) erstellen"
"Execute","Ausführen"
"Cancel","Abbrechen"
"was successful created.","wurde erfolgreich erstellt."
"Order No.","Bestellung Nr."
"No order was selected!","Es wurden keine Bestellungen ausgewählt!"
"The order no longer exists.","Bestellung existiert nicht mehr."
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
