"Package announcement","Package announcement"
"Ask customer for DHL account number to use package announcement service.","Ask customer for DHL account number to use package announcement service."
"No parcel pick up machines are allowed in billing address. To send to a parcel pick up machine you should enter it as shipping address.","No parcel pick up machines are allowed in billing address. To send to a parcel pick up machine you should enter it as shipping address."
"DHL keeps you informed about the planned delivery of your parcel via SMS or e-mail.","DHL keeps you informed about the planned delivery of your parcel via SMS or e-mail."
"If desired, you can defer the delivery to another day.","If desired, you can defer the delivery to another day."
"Please use your street address for using this service.","Please use your street address for using this service."
"street address","Street address"
"DHL account number","DHL account number"
"Please enter 6 to 10 digits.","Please enter 6 to 10 digits."
"DHL customer account number","DHL customer account number"
"Ship to Packstation","Ship to Packstation"
"Please enter 3 digits.","Please enter 3 digits."
"Only 3 digits are allowed for packstations.","Only 3 digits are allowed for packstations."
"Only 6 to 10 digits are allowed for DHL account number.","Only 6 to 10 digits are allowed for DHL account number."
"Based on your selection, the DHL account number field will be cleared. Continue?","Based on your selection, the DHL account number field will be cleared. Continue?"
"Shipping to Packstation is not allowed, if the service parcel announcement is used.","Shipping to Packstation is not allowed, if the service parcel announcement is used."
"Search for Packstation","Search for Packstation"
"Number of DHL Packstation","Number of DHL Packstation"
"URL of Packstation finder","URL of Packstation finder"
"address.unknown", "No results were found for given zip code and city."
"too.many.results", "There are too many results for given zip code and city"
"service is unavailable","Service is unavailable"
"Please select a Packstation","Please select a Packstation"
"Please select","Please select"
"address is ambigious","Address is ambigious"
"No data transmitted", "Neither zip code nor city were transmitted"
"Shipping to Packstation is not allowed, if parcel announcement is used.","Shipping to Packstation is not allowed, if parcel announcement is used."
"Enables the separate packstation input and packstation finder.","Enables the separate packstation input and packstation finder."
"Find Packstation","Find Packstation"
"distance","Distance"
"If a different shipping address is used, the parcel announcement will be skipped.","If a different shipping address is used, the parcel announcement will be skipped."
"Click 'OK' to skip the parcel announcement, click 'cancel' to edit your shipping address.","Click 'OK' to skip the parcel announcement, click 'cancel' to edit your shipping address."
"The fields zipcode and city are used for locating the Packstation.","The fields zipcode and city are used for locating the Packstation."
"Postcode and city are used for searching.","Postcode and city are used for searching."
"Apply","Apply"
