"No order id was given.","No order id was given."
"Online Return","Online Return"
"Enabled","Enabled"
"Portal Id","Portal Id"
"User","User"
"Password","Password"
"Allow customers to print a return form for a previous order.","Allow customers to print a return form for a previous order."
"Delivery Names","Delivery Names"
"Delivery Name","Delivery Name"
"Select country","Select country"
"Country","Country"
"Selected country ""%s"" is not applicable for online return.","Selected country ""%s"" is not applicable for online return."
"Country in area Online Return must not be defined twice.","Country in area Online Return must not be defined twice."
"Logging enabled","Logging enabled"
"Verify Shipping Address","Verify Shipping Address"
"Generate Return Form","Generate Return Form"
"CMS Revocation Page","CMS Revocation Page"
"Revocation","Revocation"
"Check shipping address for DHL Online Return","Check shipping address for DHL Online Return"
"The online return blocks and links will be only visible for orders with this shipping methods.","The online return blocks and links will be only visible for orders with this shipping methods."
"Allowed shipping methods","Allowed shipping methods"
"The web service request failed with the following error message: ""%s""", "The web service request failed with the following error message: ""%s"""
"DHL Online Return","DHL Online Return"
"Please click <a href=""%s"">here</a> to create a return label for your order.","Please click <a href=""%s"">here</a> to create a return label for your order."
"Return labels can be created only if the order was already shipped.","Return labels can be created only if the order was already shipped."
"Return label successfully created.","Return label successfully created."
"Return label with ident code (IDC) %s successfully created on %s.","Return label with ident code (IDC) %s successfully created on %s."
"An error occured while trying to create a return label. Error code 50001111.","An error occured while trying to create a return label. Error code 50001111."
"Your shipment was not sent yet. Because of this no return label can be created currently.","Your shipment was not sent yet. Because of this no return label can be created currently."
"Please log in to access DHL Online Return.","Please log in to access DHL Online Return."
"You are not allowed to create a return for the current order.","You are not allowed to create a return for the current order."
"The requested order does not exist.","The requested order does not exist."
"DHL Online Return is not available for your country.","DHL Online Return is not available for your country."
"DHL Online Return is not available for your shipping method.","DHL Online Return is not available for your shipping method."
"The requested order does not exist.","The requested order does not exist."
"Create your <a href=""%s"">return label</a> online and deliver your parcel to a <a href=""%s"">nearby location</a>.","Create your <a href=""%s"">return label</a> online and deliver your parcel to a <a href=""%s"">nearby location</a>."
"Return Order","Return Order"
